,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,genreId,BinProb
23,2.0,70.0,66.0,2.0,42.0,0.0,3
63,2.0,70.0,66.0,2.0,42.0,11.0,5
40102,56.0,2.0,8.0,2.0,30.0,0.0,0
40103,56.0,2.0,8.0,2.0,30.0,4.0,6
40104,56.0,2.0,8.0,2.0,30.0,11.0,12
24,2.0,70.0,66.0,2.0,42.0,16.0,12
25,2.0,70.0,66.0,2.0,42.0,3.0,5
26,2.0,70.0,66.0,2.0,42.0,3.0,5
27,2.0,70.0,66.0,2.0,42.0,3.0,5
28,2.0,70.0,66.0,2.0,42.0,0.0,3
29,2.0,70.0,66.0,2.0,42.0,10.0,3
31,2.0,70.0,66.0,2.0,42.0,8.0,17
40,2.0,70.0,66.0,2.0,42.0,3.0,5
32,2.0,70.0,66.0,2.0,42.0,3.0,5
63857,48.0,68.0,28.0,76.0,88.0,3.0,6
70648,0.0,16.0,46.0,30.0,66.0,3.0,8
33,2.0,70.0,66.0,2.0,42.0,10.0,3
4918,12.0,52.0,28.0,74.0,72.0,10.0,12
20056,74.0,18.0,90.0,0.0,0.0,10.0,0
34,2.0,70.0,66.0,2.0,42.0,18.0,3
35,2.0,70.0,66.0,2.0,42.0,9.0,6
36,2.0,70.0,66.0,2.0,42.0,3.0,5
37,2.0,70.0,66.0,2.0,42.0,0.0,3
41,2.0,70.0,66.0,2.0,42.0,3.0,5
42,2.0,70.0,66.0,2.0,42.0,10.0,3
43,2.0,70.0,66.0,2.0,42.0,16.0,12
66,2.0,70.0,66.0,2.0,42.0,9.0,6
35070,70.0,6.0,56.0,6.0,50.0,16.0,11
35071,70.0,6.0,56.0,6.0,50.0,9.0,13
44,2.0,70.0,66.0,2.0,42.0,1.0,12
52,2.0,70.0,66.0,2.0,42.0,10.0,3
45,2.0,70.0,66.0,2.0,42.0,11.0,5
46,2.0,70.0,66.0,2.0,42.0,0.0,3
21461,64.0,72.0,6.0,76.0,60.0,11.0,15
21476,64.0,72.0,6.0,76.0,60.0,0.0,8
47,2.0,70.0,66.0,2.0,42.0,16.0,12
48,2.0,70.0,66.0,2.0,42.0,15.0,11
49,2.0,70.0,66.0,2.0,42.0,11.0,5
50,2.0,70.0,66.0,2.0,42.0,3.0,5
23911,78.0,46.0,52.0,92.0,50.0,3.0,13
23912,78.0,46.0,52.0,92.0,50.0,11.0,19
23913,78.0,46.0,52.0,92.0,50.0,15.0,15
51,2.0,70.0,66.0,2.0,42.0,19.0,4
53,2.0,70.0,66.0,2.0,42.0,3.0,5
54,2.0,70.0,66.0,2.0,42.0,12.0,4
55,2.0,70.0,66.0,2.0,42.0,9.0,6
56,2.0,70.0,66.0,2.0,42.0,3.0,5
23536,22.0,84.0,74.0,44.0,40.0,3.0,8
23537,22.0,84.0,74.0,44.0,40.0,9.0,8
23538,22.0,84.0,74.0,44.0,40.0,12.0,9
35807,92.0,78.0,58.0,84.0,72.0,12.0,13
35808,92.0,78.0,58.0,84.0,72.0,9.0,10
35809,92.0,78.0,58.0,84.0,72.0,3.0,9
57,2.0,70.0,66.0,2.0,42.0,11.0,5
58,2.0,70.0,66.0,2.0,42.0,3.0,5
59,2.0,70.0,66.0,2.0,42.0,0.0,3
60,2.0,70.0,66.0,2.0,42.0,10.0,3
36653,54.0,26.0,48.0,26.0,94.0,10.0,7
61,2.0,70.0,66.0,2.0,42.0,3.0,5
129,2.0,70.0,66.0,2.0,42.0,2.0,19
173,2.0,70.0,66.0,2.0,42.0,1.0,12
62,2.0,70.0,66.0,2.0,42.0,9.0,6
15009,76.0,50.0,96.0,38.0,34.0,9.0,13
64,2.0,70.0,66.0,2.0,42.0,3.0,5
13651,98.0,60.0,56.0,58.0,78.0,3.0,7
65,2.0,70.0,66.0,2.0,42.0,3.0,5
74,2.0,70.0,66.0,2.0,42.0,2.0,19
83,2.0,70.0,66.0,2.0,42.0,16.0,12
33751,68.0,82.0,68.0,20.0,18.0,16.0,10
33752,68.0,82.0,68.0,20.0,18.0,3.0,7
33753,68.0,82.0,68.0,20.0,18.0,2.0,17
67,2.0,70.0,66.0,2.0,42.0,3.0,5
68,2.0,70.0,66.0,2.0,42.0,3.0,5
40101,56.0,2.0,8.0,2.0,30.0,3.0,6
69,2.0,70.0,66.0,2.0,42.0,11.0,5
70,2.0,70.0,66.0,2.0,42.0,3.0,5
71,2.0,70.0,66.0,2.0,42.0,2.0,19
5135,12.0,6.0,30.0,26.0,8.0,2.0,19
5136,12.0,6.0,30.0,26.0,8.0,3.0,11
5137,12.0,6.0,30.0,26.0,8.0,11.0,11
58575,0.0,50.0,94.0,40.0,2.0,11.0,8
58576,0.0,50.0,94.0,40.0,2.0,3.0,14
58577,0.0,50.0,94.0,40.0,2.0,2.0,19
72,2.0,70.0,66.0,2.0,42.0,3.0,5
73,2.0,70.0,66.0,2.0,42.0,2.0,19
75,2.0,70.0,66.0,2.0,42.0,11.0,5
76,2.0,70.0,66.0,2.0,42.0,13.0,15
77,2.0,70.0,66.0,2.0,42.0,3.0,5
78,2.0,70.0,66.0,2.0,42.0,11.0,5
79,2.0,70.0,66.0,2.0,42.0,14.0,15
80,2.0,70.0,66.0,2.0,42.0,0.0,3
81,2.0,70.0,66.0,2.0,42.0,11.0,5
82,2.0,70.0,66.0,2.0,42.0,3.0,5
84,2.0,70.0,66.0,2.0,42.0,3.0,5
29242,18.0,4.0,82.0,78.0,18.0,3.0,19
47097,46.0,20.0,58.0,34.0,66.0,3.0,9
85,2.0,70.0,66.0,2.0,42.0,3.0,5
86,2.0,70.0,66.0,2.0,42.0,16.0,12
174,2.0,70.0,66.0,2.0,42.0,4.0,1
15443,86.0,10.0,4.0,54.0,74.0,4.0,6
15448,86.0,10.0,4.0,54.0,74.0,3.0,7
15460,86.0,10.0,4.0,54.0,74.0,16.0,3
87,2.0,70.0,66.0,2.0,42.0,11.0,5
88,2.0,70.0,66.0,2.0,42.0,3.0,5
96,2.0,70.0,66.0,2.0,42.0,11.0,5
89,2.0,70.0,66.0,2.0,42.0,3.0,5
90,2.0,70.0,66.0,2.0,42.0,2.0,19
91,2.0,70.0,66.0,2.0,42.0,19.0,4
92,2.0,70.0,66.0,2.0,42.0,11.0,5
23539,22.0,84.0,74.0,44.0,40.0,11.0,9
23540,22.0,84.0,74.0,44.0,40.0,19.0,10
93,2.0,70.0,66.0,2.0,42.0,16.0,12
94,2.0,70.0,66.0,2.0,42.0,4.0,1
95,2.0,70.0,66.0,2.0,42.0,2.0,19
97,2.0,70.0,66.0,2.0,42.0,11.0,5
98,2.0,70.0,66.0,2.0,42.0,0.0,3
106,2.0,70.0,66.0,2.0,42.0,3.0,5
65704,0.0,6.0,48.0,70.0,4.0,0.0,1
65795,0.0,6.0,48.0,70.0,4.0,11.0,14
65796,0.0,6.0,48.0,70.0,4.0,3.0,16
99,2.0,70.0,66.0,2.0,42.0,3.0,5
100,2.0,70.0,66.0,2.0,42.0,11.0,5
101,2.0,70.0,66.0,2.0,42.0,3.0,5
7872,6.0,38.0,30.0,54.0,86.0,11.0,14
7873,6.0,38.0,30.0,54.0,86.0,3.0,6
47349,88.0,24.0,84.0,6.0,92.0,3.0,6
47350,88.0,24.0,84.0,6.0,92.0,11.0,15
102,2.0,70.0,66.0,2.0,42.0,8.0,17
103,2.0,70.0,66.0,2.0,42.0,3.0,5
104,2.0,70.0,66.0,2.0,42.0,16.0,12
105,2.0,70.0,66.0,2.0,42.0,3.0,5
107,2.0,70.0,66.0,2.0,42.0,0.0,3
44238,14.0,40.0,66.0,22.0,72.0,16.0,10
44239,14.0,40.0,66.0,22.0,72.0,3.0,7
44240,14.0,40.0,66.0,22.0,72.0,0.0,7
108,2.0,70.0,66.0,2.0,42.0,9.0,6
118,2.0,70.0,66.0,2.0,42.0,17.0,1
68703,62.0,8.0,62.0,8.0,18.0,9.0,15
68704,62.0,8.0,62.0,8.0,18.0,17.0,7
109,2.0,70.0,66.0,2.0,42.0,11.0,5
127,2.0,70.0,66.0,2.0,42.0,13.0,15
31435,88.0,40.0,46.0,20.0,20.0,11.0,12
31436,88.0,40.0,46.0,20.0,20.0,13.0,16
110,2.0,70.0,66.0,2.0,42.0,9.0,6
111,2.0,70.0,66.0,2.0,42.0,2.0,19
112,2.0,70.0,66.0,2.0,42.0,11.0,5
113,2.0,70.0,66.0,2.0,42.0,3.0,5
114,2.0,70.0,66.0,2.0,42.0,3.0,5
115,2.0,70.0,66.0,2.0,42.0,10.0,3
116,2.0,70.0,66.0,2.0,42.0,3.0,5
117,2.0,70.0,66.0,2.0,42.0,0.0,3
119,2.0,70.0,66.0,2.0,42.0,9.0,6
120,2.0,70.0,66.0,2.0,42.0,14.0,15
121,2.0,70.0,66.0,2.0,42.0,3.0,5
122,2.0,70.0,66.0,2.0,42.0,3.0,5
68397,88.0,0.0,48.0,10.0,48.0,3.0,9
123,2.0,70.0,66.0,2.0,42.0,4.0,1
124,2.0,70.0,66.0,2.0,42.0,3.0,5
125,2.0,70.0,66.0,2.0,42.0,2.0,19
126,2.0,70.0,66.0,2.0,42.0,3.0,5
41359,40.0,88.0,54.0,30.0,4.0,3.0,8
128,2.0,70.0,66.0,2.0,42.0,11.0,5
130,2.0,70.0,66.0,2.0,42.0,3.0,5
131,2.0,70.0,66.0,2.0,42.0,9.0,6
151,2.0,70.0,66.0,2.0,42.0,13.0,15
154,2.0,70.0,66.0,2.0,42.0,2.0,19
132,2.0,70.0,66.0,2.0,42.0,4.0,1
133,2.0,70.0,66.0,2.0,42.0,2.0,19
140,2.0,70.0,66.0,2.0,42.0,12.0,4
134,2.0,70.0,66.0,2.0,42.0,11.0,5
52870,28.0,80.0,72.0,52.0,34.0,11.0,10
135,2.0,70.0,66.0,2.0,42.0,10.0,3
136,2.0,70.0,66.0,2.0,42.0,5.0,11
137,2.0,70.0,66.0,2.0,42.0,16.0,12
138,2.0,70.0,66.0,2.0,42.0,3.0,5
139,2.0,70.0,66.0,2.0,42.0,3.0,5
141,2.0,70.0,66.0,2.0,42.0,10.0,3
142,2.0,70.0,66.0,2.0,42.0,3.0,5
150,2.0,70.0,66.0,2.0,42.0,5.0,11
143,2.0,70.0,66.0,2.0,42.0,13.0,15
144,2.0,70.0,66.0,2.0,42.0,12.0,4
145,2.0,70.0,66.0,2.0,42.0,3.0,5
146,2.0,70.0,66.0,2.0,42.0,3.0,5
64949,78.0,74.0,14.0,98.0,62.0,3.0,8
147,2.0,70.0,66.0,2.0,42.0,6.0,15
148,2.0,70.0,66.0,2.0,42.0,3.0,5
149,2.0,70.0,66.0,2.0,42.0,0.0,3
28241,24.0,58.0,64.0,42.0,38.0,6.0,15
28372,24.0,58.0,64.0,42.0,38.0,3.0,9
28491,24.0,58.0,64.0,42.0,38.0,0.0,6
152,2.0,70.0,66.0,2.0,42.0,0.0,3
153,2.0,70.0,66.0,2.0,42.0,3.0,5
162,2.0,70.0,66.0,2.0,42.0,2.0,19
155,2.0,70.0,66.0,2.0,42.0,15.0,11
156,2.0,70.0,66.0,2.0,42.0,11.0,5
157,2.0,70.0,66.0,2.0,42.0,0.0,3
59077,90.0,78.0,16.0,94.0,84.0,15.0,17
59384,90.0,78.0,16.0,94.0,84.0,11.0,19
59414,90.0,78.0,16.0,94.0,84.0,0.0,13
158,2.0,70.0,66.0,2.0,42.0,11.0,5
159,2.0,70.0,66.0,2.0,42.0,3.0,5
160,2.0,70.0,66.0,2.0,42.0,3.0,5
161,2.0,70.0,66.0,2.0,42.0,11.0,5
7383,46.0,56.0,2.0,36.0,82.0,11.0,13
163,2.0,70.0,66.0,2.0,42.0,3.0,5
24407,68.0,86.0,84.0,8.0,10.0,3.0,8
164,2.0,70.0,66.0,2.0,42.0,4.0,1
165,2.0,70.0,66.0,2.0,42.0,3.0,5
166,2.0,70.0,66.0,2.0,42.0,0.0,3
167,2.0,70.0,66.0,2.0,42.0,16.0,12
168,2.0,70.0,66.0,2.0,42.0,7.0,0
169,2.0,70.0,66.0,2.0,42.0,3.0,5
170,2.0,70.0,66.0,2.0,42.0,0.0,3
65318,22.0,20.0,8.0,66.0,20.0,3.0,12
65319,22.0,20.0,8.0,66.0,20.0,0.0,0
171,2.0,70.0,66.0,2.0,42.0,3.0,5
172,2.0,70.0,66.0,2.0,42.0,11.0,5
175,2.0,70.0,66.0,2.0,42.0,7.0,0
237,2.0,70.0,66.0,2.0,42.0,11.0,5
55856,14.0,98.0,76.0,30.0,90.0,11.0,9
55857,14.0,98.0,76.0,30.0,90.0,7.0,0
176,2.0,70.0,66.0,2.0,42.0,2.0,19
184,2.0,70.0,66.0,2.0,42.0,3.0,5
196,2.0,70.0,66.0,2.0,42.0,16.0,12
55703,78.0,86.0,10.0,60.0,78.0,16.0,0
55704,78.0,86.0,10.0,60.0,78.0,3.0,3
55705,78.0,86.0,10.0,60.0,78.0,2.0,9
177,2.0,70.0,66.0,2.0,42.0,15.0,11
178,2.0,70.0,66.0,2.0,42.0,3.0,5
179,2.0,70.0,66.0,2.0,42.0,2.0,19
180,2.0,70.0,66.0,2.0,42.0,3.0,5
59533,48.0,50.0,10.0,52.0,76.0,3.0,4
181,2.0,70.0,66.0,2.0,42.0,14.0,15
182,2.0,70.0,66.0,2.0,42.0,3.0,5
183,2.0,70.0,66.0,2.0,42.0,5.0,11
185,2.0,70.0,66.0,2.0,42.0,3.0,5
186,2.0,70.0,66.0,2.0,42.0,3.0,5
187,2.0,70.0,66.0,2.0,42.0,2.0,19
188,2.0,70.0,66.0,2.0,42.0,10.0,3
189,2.0,70.0,66.0,2.0,42.0,9.0,6
190,2.0,70.0,66.0,2.0,42.0,3.0,5
191,2.0,70.0,66.0,2.0,42.0,16.0,12
192,2.0,70.0,66.0,2.0,42.0,19.0,4
193,2.0,70.0,66.0,2.0,42.0,11.0,5
194,2.0,70.0,66.0,2.0,42.0,3.0,5
195,2.0,70.0,66.0,2.0,42.0,3.0,5
262,2.0,70.0,66.0,2.0,42.0,8.0,17
197,2.0,70.0,66.0,2.0,42.0,0.0,3
38074,46.0,30.0,2.0,76.0,98.0,0.0,8
198,2.0,70.0,66.0,2.0,42.0,3.0,5
199,2.0,70.0,66.0,2.0,42.0,3.0,5
200,2.0,70.0,66.0,2.0,42.0,19.0,4
201,2.0,70.0,66.0,2.0,42.0,11.0,5
202,2.0,70.0,66.0,2.0,42.0,17.0,1
203,2.0,70.0,66.0,2.0,42.0,12.0,4
204,2.0,70.0,66.0,2.0,42.0,3.0,5
21749,4.0,92.0,28.0,6.0,64.0,17.0,1
21852,4.0,92.0,28.0,6.0,64.0,12.0,4
21879,4.0,92.0,28.0,6.0,64.0,3.0,0
61040,52.0,56.0,44.0,86.0,14.0,3.0,14
61041,52.0,56.0,44.0,86.0,14.0,12.0,14
61042,52.0,56.0,44.0,86.0,14.0,17.0,6
205,2.0,70.0,66.0,2.0,42.0,13.0,15
207,2.0,70.0,66.0,2.0,42.0,12.0,4
206,2.0,70.0,66.0,2.0,42.0,10.0,3
39356,84.0,74.0,60.0,20.0,38.0,10.0,9
208,2.0,70.0,66.0,2.0,42.0,11.0,5
209,2.0,70.0,66.0,2.0,42.0,0.0,3
216,2.0,70.0,66.0,2.0,42.0,15.0,11
210,2.0,70.0,66.0,2.0,42.0,13.0,15
211,2.0,70.0,66.0,2.0,42.0,9.0,6
212,2.0,70.0,66.0,2.0,42.0,2.0,19
33126,78.0,44.0,46.0,14.0,92.0,2.0,9
33127,78.0,44.0,46.0,14.0,92.0,9.0,7
33250,78.0,44.0,46.0,14.0,92.0,13.0,10
213,2.0,70.0,66.0,2.0,42.0,8.0,17
214,2.0,70.0,66.0,2.0,42.0,3.0,5
215,2.0,70.0,66.0,2.0,42.0,0.0,3
70646,0.0,16.0,46.0,30.0,66.0,8.0,12
70652,0.0,16.0,46.0,30.0,66.0,3.0,8
70661,0.0,16.0,46.0,30.0,66.0,0.0,4
217,2.0,70.0,66.0,2.0,42.0,11.0,5
261,2.0,70.0,66.0,2.0,42.0,13.0,15
17593,4.0,46.0,58.0,4.0,58.0,13.0,14
17637,4.0,46.0,58.0,4.0,58.0,11.0,8
218,2.0,70.0,66.0,2.0,42.0,11.0,5
24732,6.0,38.0,28.0,52.0,24.0,11.0,11
219,2.0,70.0,66.0,2.0,42.0,16.0,12
242,2.0,70.0,66.0,2.0,42.0,6.0,15
243,2.0,70.0,66.0,2.0,42.0,4.0,1
40098,56.0,2.0,8.0,2.0,30.0,4.0,6
40099,56.0,2.0,8.0,2.0,30.0,6.0,6
40100,56.0,2.0,8.0,2.0,30.0,16.0,11
220,2.0,70.0,66.0,2.0,42.0,3.0,5
221,2.0,70.0,66.0,2.0,42.0,2.0,19
222,2.0,70.0,66.0,2.0,42.0,0.0,3
223,2.0,70.0,66.0,2.0,42.0,10.0,3
224,2.0,70.0,66.0,2.0,42.0,6.0,15
225,2.0,70.0,66.0,2.0,42.0,3.0,5
44599,42.0,28.0,46.0,44.0,80.0,3.0,7
226,2.0,70.0,66.0,2.0,42.0,18.0,3
227,2.0,70.0,66.0,2.0,42.0,16.0,12
229,2.0,70.0,66.0,2.0,42.0,4.0,1
52867,28.0,80.0,72.0,52.0,34.0,4.0,6
52868,28.0,80.0,72.0,52.0,34.0,16.0,9
52869,28.0,80.0,72.0,52.0,34.0,18.0,4
228,2.0,70.0,66.0,2.0,42.0,11.0,5
230,2.0,70.0,66.0,2.0,42.0,17.0,1
231,2.0,70.0,66.0,2.0,42.0,16.0,12
232,2.0,70.0,66.0,2.0,42.0,9.0,6
16824,4.0,12.0,72.0,50.0,50.0,17.0,1
16825,4.0,12.0,72.0,50.0,50.0,16.0,12
16826,4.0,12.0,72.0,50.0,50.0,9.0,11
233,2.0,70.0,66.0,2.0,42.0,10.0,3
234,2.0,70.0,66.0,2.0,42.0,11.0,5
235,2.0,70.0,66.0,2.0,42.0,3.0,5
236,2.0,70.0,66.0,2.0,42.0,2.0,19
238,2.0,70.0,66.0,2.0,42.0,13.0,15
35408,16.0,28.0,98.0,32.0,44.0,13.0,11
55858,14.0,98.0,76.0,30.0,90.0,13.0,7
239,2.0,70.0,66.0,2.0,42.0,11.0,5
240,2.0,70.0,66.0,2.0,42.0,10.0,3
241,2.0,70.0,66.0,2.0,42.0,14.0,15
250,2.0,70.0,66.0,2.0,42.0,0.0,3
259,2.0,70.0,66.0,2.0,42.0,16.0,12
244,2.0,70.0,66.0,2.0,42.0,3.0,5
245,2.0,70.0,66.0,2.0,42.0,3.0,5
246,2.0,70.0,66.0,2.0,42.0,11.0,5
247,2.0,70.0,66.0,2.0,42.0,3.0,5
248,2.0,70.0,66.0,2.0,42.0,11.0,5
249,2.0,70.0,66.0,2.0,42.0,3.0,5
251,2.0,70.0,66.0,2.0,42.0,12.0,4
17076,60.0,62.0,20.0,96.0,78.0,12.0,9
252,2.0,70.0,66.0,2.0,42.0,12.0,4
253,2.0,70.0,66.0,2.0,42.0,3.0,5
260,2.0,70.0,66.0,2.0,42.0,13.0,15
254,2.0,70.0,66.0,2.0,42.0,11.0,5
255,2.0,70.0,66.0,2.0,42.0,3.0,5
256,2.0,70.0,66.0,2.0,42.0,2.0,19
257,2.0,70.0,66.0,2.0,42.0,3.0,5
26582,44.0,70.0,70.0,30.0,74.0,3.0,5
258,2.0,70.0,66.0,2.0,42.0,10.0,3
263,2.0,70.0,66.0,2.0,42.0,11.0,5
49540,80.0,16.0,82.0,90.0,64.0,11.0,19
264,2.0,70.0,66.0,2.0,42.0,16.0,12
265,2.0,70.0,66.0,2.0,42.0,3.0,5
306,2.0,70.0,66.0,2.0,42.0,11.0,5
5132,12.0,6.0,30.0,26.0,8.0,3.0,11
5133,12.0,6.0,30.0,26.0,8.0,11.0,11
5134,12.0,6.0,30.0,26.0,8.0,16.0,15
44596,42.0,28.0,46.0,44.0,80.0,16.0,6
44597,42.0,28.0,46.0,44.0,80.0,11.0,15
44598,42.0,28.0,46.0,44.0,80.0,3.0,7
55700,78.0,86.0,10.0,60.0,78.0,16.0,0
55701,78.0,86.0,10.0,60.0,78.0,11.0,14
55702,78.0,86.0,10.0,60.0,78.0,3.0,3
266,2.0,70.0,66.0,2.0,42.0,13.0,15
267,2.0,70.0,66.0,2.0,42.0,11.0,5
268,2.0,70.0,66.0,2.0,42.0,3.0,5
34965,6.0,2.0,44.0,24.0,30.0,3.0,11
61043,52.0,56.0,44.0,86.0,14.0,3.0,14
269,2.0,70.0,66.0,2.0,42.0,0.0,3
30079,76.0,30.0,0.0,42.0,42.0,0.0,1
270,2.0,70.0,66.0,2.0,42.0,18.0,3
271,2.0,70.0,66.0,2.0,42.0,11.0,5
273,2.0,70.0,66.0,2.0,42.0,4.0,1
5576,52.0,18.0,58.0,50.0,72.0,18.0,11
5599,52.0,18.0,58.0,50.0,72.0,11.0,16
5600,52.0,18.0,58.0,50.0,72.0,4.0,8
42658,90.0,78.0,30.0,82.0,30.0,18.0,11
42726,90.0,78.0,30.0,82.0,30.0,11.0,15
42727,90.0,78.0,30.0,82.0,30.0,4.0,10
61774,60.0,70.0,92.0,98.0,62.0,4.0,11
61775,60.0,70.0,92.0,98.0,62.0,11.0,17
61776,60.0,70.0,92.0,98.0,62.0,18.0,9
272,2.0,70.0,66.0,2.0,42.0,4.0,1
274,2.0,70.0,66.0,2.0,42.0,10.0,3
282,2.0,70.0,66.0,2.0,42.0,15.0,11
7384,46.0,56.0,2.0,36.0,82.0,15.0,13
7385,46.0,56.0,2.0,36.0,82.0,10.0,13
275,2.0,70.0,66.0,2.0,42.0,11.0,5
276,2.0,70.0,66.0,2.0,42.0,2.0,19
277,2.0,70.0,66.0,2.0,42.0,13.0,15
278,2.0,70.0,66.0,2.0,42.0,3.0,5
279,2.0,70.0,66.0,2.0,42.0,11.0,5
280,2.0,70.0,66.0,2.0,42.0,3.0,5
281,2.0,70.0,66.0,2.0,42.0,0.0,3
25132,86.0,42.0,26.0,44.0,64.0,3.0,6
25133,86.0,42.0,26.0,44.0,64.0,0.0,6
283,2.0,70.0,66.0,2.0,42.0,16.0,12
305,2.0,70.0,66.0,2.0,42.0,9.0,6
324,2.0,70.0,66.0,2.0,42.0,5.0,11
284,2.0,70.0,66.0,2.0,42.0,2.0,19
285,2.0,70.0,66.0,2.0,42.0,11.0,5
294,2.0,70.0,66.0,2.0,42.0,9.0,6
286,2.0,70.0,66.0,2.0,42.0,3.0,5
287,2.0,70.0,66.0,2.0,42.0,3.0,5
288,2.0,70.0,66.0,2.0,42.0,14.0,15
289,2.0,70.0,66.0,2.0,42.0,3.0,5
69212,48.0,20.0,80.0,46.0,42.0,3.0,13
290,2.0,70.0,66.0,2.0,42.0,3.0,5
291,2.0,70.0,66.0,2.0,42.0,16.0,12
292,2.0,70.0,66.0,2.0,42.0,11.0,5
293,2.0,70.0,66.0,2.0,42.0,4.0,1
295,2.0,70.0,66.0,2.0,42.0,3.0,5
11263,20.0,72.0,80.0,40.0,92.0,3.0,6
296,2.0,70.0,66.0,2.0,42.0,0.0,3
304,2.0,70.0,66.0,2.0,42.0,3.0,5
297,2.0,70.0,66.0,2.0,42.0,19.0,4
298,2.0,70.0,66.0,2.0,42.0,18.0,3
299,2.0,70.0,66.0,2.0,42.0,5.0,11
300,2.0,70.0,66.0,2.0,42.0,11.0,5
301,2.0,70.0,66.0,2.0,42.0,3.0,5
302,2.0,70.0,66.0,2.0,42.0,3.0,5
303,2.0,70.0,66.0,2.0,42.0,11.0,5
307,2.0,70.0,66.0,2.0,42.0,0.0,3
323,2.0,70.0,66.0,2.0,42.0,3.0,5
50711,84.0,0.0,32.0,48.0,26.0,0.0,2
50712,84.0,0.0,32.0,48.0,26.0,3.0,13
308,2.0,70.0,66.0,2.0,42.0,3.0,5
16823,4.0,12.0,72.0,50.0,50.0,3.0,13
309,2.0,70.0,66.0,2.0,42.0,16.0,12
310,2.0,70.0,66.0,2.0,42.0,4.0,1
311,2.0,70.0,66.0,2.0,42.0,3.0,5
312,2.0,70.0,66.0,2.0,42.0,9.0,6
313,2.0,70.0,66.0,2.0,42.0,8.0,17
314,2.0,70.0,66.0,2.0,42.0,11.0,5
328,2.0,70.0,66.0,2.0,42.0,17.0,1
315,2.0,70.0,66.0,2.0,42.0,17.0,1
317,2.0,70.0,66.0,2.0,42.0,16.0,12
316,2.0,70.0,66.0,2.0,42.0,9.0,6
327,2.0,70.0,66.0,2.0,42.0,12.0,4
331,2.0,70.0,66.0,2.0,42.0,13.0,15
318,2.0,70.0,66.0,2.0,42.0,3.0,5
37138,38.0,34.0,28.0,4.0,50.0,3.0,4
319,2.0,70.0,66.0,2.0,42.0,13.0,15
3931,20.0,34.0,4.0,60.0,64.0,13.0,11
6673,62.0,14.0,58.0,70.0,52.0,13.0,9
320,2.0,70.0,66.0,2.0,42.0,3.0,5
321,2.0,70.0,66.0,2.0,42.0,3.0,5
322,2.0,70.0,66.0,2.0,42.0,2.0,19
325,2.0,70.0,66.0,2.0,42.0,11.0,5
326,2.0,70.0,66.0,2.0,42.0,3.0,5
329,2.0,70.0,66.0,2.0,42.0,4.0,1
346,2.0,70.0,66.0,2.0,42.0,16.0,12
347,2.0,70.0,66.0,2.0,42.0,7.0,0
330,2.0,70.0,66.0,2.0,42.0,5.0,11
340,2.0,70.0,66.0,2.0,42.0,3.0,5
332,2.0,70.0,66.0,2.0,42.0,12.0,4
333,2.0,70.0,66.0,2.0,42.0,9.0,6
61773,60.0,70.0,92.0,98.0,62.0,12.0,11
61781,60.0,70.0,92.0,98.0,62.0,9.0,11
334,2.0,70.0,66.0,2.0,42.0,3.0,5
